stage,trial,mean_score,std_score,radio_p_min,radio_p_max,radio_w_req,radio_w_load,radio_w_inter,radio_w_block,radio_w_demand,radio_sig_k,radio_ch_min,radio_ch_max,radio_w_cov,radio_w_chmatch,radio_w_block_ch,radio_w_demand_ch,radio_sig_k_ch,compute_off_base,compute_off_demand_k,compute_off_queue_k,compute_cpu_base,compute_cpu_queue_k,compute_cpu_demand_k,compute_cpu_min
radio,34,15.496118117888956,0.0,0.08602957353647185,0.9367972844157852,0.1111358338137558,0.5612228722673118,0.6682600810030916,0.3459888903831876,0.6277867396039785,9.68423310052577,0.024845338374823354,0.8876627259384462,1.7130960471491163,0.7445231463830964,0.3072257981212696,1.2016808158901617,4.077053002784049,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,35,21.726293743813464,0.0,0.23245968053912625,0.9833716723603889,1.9909289451672743,1.5442097827091712,0.6219230198415324,1.375330098332185,1.4108127309680254,6.490575256472848,0.23149324941343258,0.35697296923418953,0.4181153172044829,1.0501766059345223,0.32750260851659174,0.3318137357530673,10.52673861495214,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,36,23.036873642491123,0.0,0.5445665013418027,0.8421766602929509,1.6781394617634269,1.980643328652545,0.2831917771375494,0.8964912265087022,0.7851454316838398,3.720443552815665,0.26925895702226565,0.6319563677596854,0.9386538683808026,0.30134594762648037,0.36185330446173625,1.81420724431243,3.40184180076851,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,37,15.703365454235033,0.0,0.1664261424718531,0.7168237321258113,0.9803950848031728,1.1728903460295919,0.9865799517013332,0.16823066911376405,0.4873349081114271,10.592295462862872,0.23040427115789144,0.7719468825872784,1.3404065107027099,1.5258060380790581,0.11621696344289467,0.7332167698652248,7.855746917355108,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,38,20.750000660374504,0.0,0.219228241648663,0.9377915493148746,0.9651450171745879,1.5372551789187583,1.704031033762338,1.0095829658069961,1.8191044877426998,8.284115464832826,0.30059051861512814,0.5713840171344908,0.9976339170629704,1.0628220820091554,0.20995943179214116,0.7971050134030813,11.256039052965084,0.05,0.3,1.2,0.1,1.2,0.4,0.0
radio,39,21.840312967699482,0.0,0.3654161201823712,0.671002632974787,0.6777112712192099,0.38320601932539966,0.04964626359714508,1.8549209170080534,0.896414656513743,5.767815651787076,0.21749747321405305,0.35475439659046015,0.5560442132016277,1.4060669313977852,1.267539546138526,1.963611895085071,8.583219386922396,0.05,0.3,1.2,0.1,1.2,0.4,0.0
compute,0,12.619544882394921,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.28650352417663966,1.1421488447760115,2.258319679910133,0.5765567573746813,2.408028058873449,1.1730077561072658,0.17336028765238531
compute,1,15.250584269710021,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.06846244271018231,1.0986202544906816,1.1002217488184216,0.4424830419290202,1.635256023705892,1.4547226750583542,0.19691561628632492
compute,2,10.364463422067129,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.17293694729274314,1.1006302461568742,1.8749588448381715,0.277194289050439,0.30967443716055254,0.06142044042857964,0.15546862550583573
compute,3,6.49456844982021,0.0,0.4631459620971789,0.9584643087359067,0.28049817799722154,1.1080722870780988,0.2171514822708871,1.3444801860796234,0.5624675676780166,8.934803712227115,0.25990822271467123,0.8496208697464771,0.21548189191179312,1.8320236902752158,0.46042798178976163,0.07482511235235956,7.99367222452335,0.2938198450901435,1.4783102542423894,1.1624336404841327,0.7823335832590722,1.0289400054851496,1.190523225839959,0.016963854462366413
