algorithm,method,seed,user_id,mean_qoe
Cent-PPO,cent_ppo,44,10,0.7271886469153581
Cent-PPO,cent_ppo,44,11,0.7582201257558343
Cent-PPO,cent_ppo,44,12,0.7132556454476991
Cent-PPO,cent_ppo,44,13,0.7362142893354511
Cent-PPO,cent_ppo,44,14,0.7686795758288949
Cent-PPO,cent_ppo,44,15,0.7261224709028175
Cent-PPO,cent_ppo,44,16,0.7214121063384721
Cent-PPO,cent_ppo,44,17,0.7544775754201368
Cent-PPO,cent_ppo,44,18,0.7729694873954022
Cent-PPO,cent_ppo,44,19,0.7183211671232945
Cent-PPO,cent_ppo,44,20,0.7613652883568937
Cent-PPO,cent_ppo,44,21,0.7814449858425112
Cent-PPO,cent_ppo,44,22,0.7984193617201044
Cent-PPO,cent_ppo,44,23,0.750253004253022
Cent-PPO,cent_ppo,44,24,0.7423682717255099
Cent-PPO,cent_ppo,44,25,0.7507091438924854
Cent-PPO,cent_ppo,44,26,0.7663289350578043
Cent-PPO,cent_ppo,44,27,0.7689420000338014
Cent-PPO,cent_ppo,44,28,0.7294756866608174
Cent-PPO,cent_ppo,44,29,0.7446256497365218
Cent-PPO,cent_ppo,44,30,0.8273292059876068
Cent-PPO,cent_ppo,44,31,0.7655526109507965
Cent-PPO,cent_ppo,44,32,0.7488764219666527
Cent-PPO,cent_ppo,44,33,0.7486994758559319
Cent-PPO,cent_ppo,44,34,0.8012974058664372
Cent-PPO,cent_ppo,44,35,0.7423989644335705
Cent-PPO,cent_ppo,44,36,0.7639488636193605
Cent-PPO,cent_ppo,44,37,0.7885857804577179
Cent-PPO,cent_ppo,44,38,0.7885119031514577
Cent-PPO,cent_ppo,44,39,0.7884436131742951
Cent-PPO,cent_ppo,44,40,0.7525232776520936
Cent-PPO,cent_ppo,44,41,0.7644206447362693
Cent-PPO,cent_ppo,44,42,0.7634851076669301
Cent-PPO,cent_ppo,44,43,0.7939637125212623
Cent-PPO,cent_ppo,44,44,0.76599070300785
Cent-PPO,cent_ppo,44,45,0.741147941616614
Cent-PPO,cent_ppo,44,46,0.7261239786038656
Cent-PPO,cent_ppo,44,47,0.7797574926893627
Cent-PPO,cent_ppo,44,48,0.796454121043986
Cent-PPO,cent_ppo,44,49,0.7764457000678137
Cent-PPO,cent_ppo,44,50,0.7276112250418247
Cent-PPO,cent_ppo,44,51,0.7385342981609254
Cent-PPO,cent_ppo,44,52,0.740347954979259
Cent-PPO,cent_ppo,44,53,0.7719192791221142
Cent-PPO,cent_ppo,44,54,0.751412338289891
Cent-PPO,cent_ppo,44,55,0.7765836046540328
Cent-PPO,cent_ppo,44,56,0.771720844904162
Cent-PPO,cent_ppo,44,57,0.7552507122866241
Cent-PPO,cent_ppo,44,58,0.73988681592055
Cent-PPO,cent_ppo,44,59,0.7658327362056767
Cent-PPO,cent_ppo,44,60,0.8037592556617436
Cent-PPO,cent_ppo,44,61,0.7185055317898214
Cent-PPO,cent_ppo,44,62,0.769002400448144
Cent-PPO,cent_ppo,44,63,0.7479607730048943
Cent-PPO,cent_ppo,44,64,0.7392021714985969
Cent-PPO,cent_ppo,44,65,0.7589393232351006
Cent-PPO,cent_ppo,44,66,0.7766514445778756
Cent-PPO,cent_ppo,44,67,0.7415372593813051
Cent-PPO,cent_ppo,44,68,0.7551422771243221
Cent-PPO,cent_ppo,44,69,0.7601408489651413
Cent-PPO,cent_ppo,44,70,0.729010960952025
Cent-PPO,cent_ppo,44,71,0.7566627063219321
Cent-PPO,cent_ppo,44,72,0.7566538056129685
Cent-PPO,cent_ppo,44,73,0.767476483896005
Cent-PPO,cent_ppo,44,74,0.7766819836081712
Cent-PPO,cent_ppo,44,75,0.7804060677305863
Cent-PPO,cent_ppo,44,76,0.7556664155571979
Cent-PPO,cent_ppo,44,77,0.7718974004147656
Cent-PPO,cent_ppo,44,78,0.7765830982579112
Cent-PPO,cent_ppo,44,79,0.7775304094364388
MAPPO,mappo,42,0,0.7545304377576688
MAPPO,mappo,42,1,0.7361789575105763
MAPPO,mappo,42,2,0.7581674759792814
MAPPO,mappo,42,3,0.7335112974336635
MAPPO,mappo,42,4,0.7311095233562465
MAPPO,mappo,42,5,0.7110666722425539
MAPPO,mappo,42,6,0.7415164701680459
MAPPO,mappo,42,7,0.77058480040714
MAPPO,mappo,42,8,0.7728319856988383
MAPPO,mappo,42,9,0.7689414502361092
MAPPO,mappo,42,10,0.7244288735639534
MAPPO,mappo,42,11,0.7531052430098012
MAPPO,mappo,42,12,0.7083593576180836
MAPPO,mappo,42,13,0.729188084895314
MAPPO,mappo,42,14,0.7637504107934336
MAPPO,mappo,42,15,0.7220265035427864
MAPPO,mappo,42,16,0.7164367657751132
MAPPO,mappo,42,17,0.7496699942538021
