method,variant,scenario,num_bs,num_users,experiment,seed,run_id,num_eval_episodes,throughput_Mbps,mean_latency_ms,p95_latency_ms,deadline_satisfaction_pct,blocking_pct,avg_qoe,fairness,energy_J_per_step,walltime_ms_per_step,mean_episode_return,training_iterations,training_env_steps,training_walltime_s,algorithm_backend,eval_user_steps_csv,code_version,run_dir,summary_path,algorithm
ours,full,mixed,4,80,mobility,42,ours__full__mixed__bs4__u80__mobility__seed42,20,192.29552009330692,158.7528932413823,459.6349318942081,48.4375,0.0,0.7607510558397006,0.9722665849398372,500159.9996540535,16.001085877418518,101.68008344532926,200,200000,4640.510082960129,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed42/run_summary.csv,Ours
ours,full,mixed,4,80,mobility,43,ours__full__mixed__bs4__u80__mobility__seed43,20,192.2645613877115,135.9490313484296,432.67282262627407,54.0553125,0.00125,0.7735986542765287,0.9741496727428122,498985.5580583615,15.745188057422638,105.79481811179453,200,200000,4572.859983205795,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed43/run_summary.csv,Ours
ours,full,mixed,4,80,mobility,44,ours__full__mixed__bs4__u80__mobility__seed44,20,192.27413069817936,135.76248380448317,432.3899872561652,54.0903125,0.0,0.7737281565010727,0.9735901664438036,499046.7713933621,15.677521824836733,105.81588080974298,200,200000,4532.596955537796,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed44/run_summary.csv,Ours
ours,full,urban,4,20,user_load,42,ours__full__urban__bs4__u20__user_load__seed42,20,54.19508185441023,56.942635263535486,157.7103980968634,80.3,0.0,0.853077137400954,0.9136425013389684,476068.09161270375,5.784134209156036,127.6839865978523,200,200000,2231.0208444595337,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed42/run_summary.csv,Ours
ours,full,urban,4,20,user_load,43,ours__full__urban__bs4__u20__user_load__seed43,20,54.108540121296286,56.6431545038429,156.76785833903153,80.46875,0.0,0.8529333186869027,0.9149044938292498,481955.61596359656,5.777594745159149,127.63547593759748,200,200000,2241.697264432907,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed43/run_summary.csv,Ours
ours,full,urban,4,20,user_load,44,ours__full__urban__bs4__u20__user_load__seed44,20,54.20796757082058,56.960182809695645,157.05957471401567,80.22,0.0,0.8531804251612084,0.9160778405640864,464576.0359122033,5.758032381534576,127.94622474207236,200,200000,2236.9089901447296,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed44/run_summary.csv,Ours
ours,full,urban,4,40,user_load,42,ours__full__urban__bs4__u40__user_load__seed42,20,102.2845618855072,90.56995444149082,258.63879989633665,62.965625,0.0,0.8293306815025268,0.9552128145992158,497640.3954531316,9.130145490169523,116.94911995574242,200,200000,3025.14883184433,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed42/run_summary.csv,Ours
ours,full,urban,4,40,user_load,43,ours__full__urban__bs4__u40__user_load__seed43,20,103.28423678024056,78.79316463678379,246.68822798037817,67.00875,0.0,0.8354867549293038,0.9515921647287516,500019.6290518637,8.882798671722412,119.32072717829084,200,200000,3106.7342054843903,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed43,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed43/run_summary.csv,Ours
ours,full,urban,4,40,user_load,44,ours__full__urban__bs4__u40__user_load__seed44,20,103.08066755145391,79.69868766383127,248.74506359247565,66.58375,0.0,0.8345094479951729,0.9508194472931882,477582.6201874364,8.904469728469849,119.44509717843616,200,200000,3017.645105600357,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed44,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed44/run_summary.csv,Ours
ours,full,urban,4,60,user_load,42,ours__full__urban__bs4__u60__user_load__seed42,20,151.87894247064645,123.97658702006257,357.1030774960637,54.17041666666667,0.0,0.7921006215006516,0.9711291930025908,500139.7752658549,12.411024510860443,109.07793151400256,200,200000,3776.59042263031,rllib_ppo,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed42,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed42/run_summary.csv,Ours
