run_id,method,variant,scenario,seed,experiment,num_bs,num_users,num_eval_episodes,throughput_Mbps,mean_latency_ms,p95_latency_ms,deadline_satisfaction,deadline_satisfaction_pct,blocking_rate,blocking_pct,avg_qoe,fairness,energy_J_per_step,walltime_ms_per_step,mean_episode_return,eval_user_steps_csv,code_version,algorithm_backend,ray_version,torch_version,final_checkpoint,training_iterations,training_env_steps,training_walltime_s
ours__full__mixed__bs4__u80__mobility__seed44,ours,full,mixed,44,mobility,4,80,20,192.27413069817936,135.76248380448317,432.3899872561652,0.540903125,54.0903125,0.0,0.0,0.7737281565010727,0.9735901664438036,499046.77139336214,15.677521824836731,105.81588080974298,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__mixed__bs4__u80__mobility__seed44/checkpoints/final,200,200000,4532.596955537796
ours__full__urban__bs4__u20__user_load__seed42,ours,full,urban,42,user_load,4,20,20,54.19508185441023,56.942635263535486,157.7103980968634,0.803,80.3,0.0,0.0,0.853077137400954,0.9136425013389683,476068.09161270375,5.784134209156036,127.6839865978523,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed42/checkpoints/final,200,200000,2231.0208444595337
ours__full__urban__bs4__u20__user_load__seed43,ours,full,urban,43,user_load,4,20,20,54.108540121296286,56.6431545038429,156.76785833903153,0.8046875,80.46875,0.0,0.0,0.8529333186869027,0.9149044938292498,481955.61596359656,5.777594745159149,127.63547593759748,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed43/checkpoints/final,200,200000,2241.697264432907
ours__full__urban__bs4__u20__user_load__seed44,ours,full,urban,44,user_load,4,20,20,54.20796757082058,56.960182809695645,157.05957471401567,0.8022,80.22,0.0,0.0,0.8531804251612084,0.9160778405640864,464576.0359122033,5.758032381534576,127.94622474207237,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u20__user_load__seed44/checkpoints/final,200,200000,2236.9089901447296
ours__full__urban__bs4__u40__user_load__seed42,ours,full,urban,42,user_load,4,40,20,102.28456188550719,90.56995444149082,258.63879989633665,0.62965625,62.965625,0.0,0.0,0.8293306815025268,0.9552128145992158,497640.3954531316,9.130145490169525,116.94911995574242,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed42/checkpoints/final,200,200000,3025.14883184433
ours__full__urban__bs4__u40__user_load__seed43,ours,full,urban,43,user_load,4,40,20,103.28423678024055,78.79316463678379,246.68822798037817,0.6700875,67.00875,0.0,0.0,0.8354867549293038,0.9515921647287516,500019.6290518637,8.882798671722412,119.32072717829085,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed43/checkpoints/final,200,200000,3106.7342054843903
ours__full__urban__bs4__u40__user_load__seed44,ours,full,urban,44,user_load,4,40,20,103.08066755145393,79.69868766383127,248.74506359247565,0.6658375,66.58375,0.0,0.0,0.8345094479951729,0.9508194472931882,477582.6201874364,8.904469728469849,119.44509717843616,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u40__user_load__seed44/checkpoints/final,200,200000,3017.645105600357
ours__full__urban__bs4__u60__user_load__seed42,ours,full,urban,42,user_load,4,60,20,151.87894247064645,123.97658702006255,357.1030774960637,0.5417041666666667,54.17041666666667,0.0,0.0,0.7921006215006516,0.9711291930025909,500139.7752658549,12.411024510860443,109.07793151400256,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed42/checkpoints/final,200,200000,3776.59042263031
ours__full__urban__bs4__u60__user_load__seed43,ours,full,urban,43,user_load,4,60,20,151.9638847210328,115.24046895236006,347.7169592072818,0.566625,56.6625,0.0,0.0,0.7965322806354077,0.9710871651784427,500030.4604673437,12.28967970609665,110.69740288914727,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed43/checkpoints/final,200,200000,3810.5524175167084
ours__full__urban__bs4__u60__user_load__seed44,ours,full,urban,44,user_load,4,60,20,151.93924784851228,106.69284892743542,338.33564747125735,0.5905958333333333,59.059583333333336,0.0,0.0,0.8007179703213384,0.9711100468520045,499829.36206355237,12.189005017280579,112.24628191820041,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u60__user_load__seed44/checkpoints/final,200,200000,3743.736760854721
ours__full__urban__bs4__u100__user_load__seed42,ours,full,urban,42,user_load,4,100,20,240.00784355936975,191.73820381652098,552.4269443777737,0.44454,44.454,0.0,0.0,0.7257217028409269,0.9836927289092215,500156.6433638382,18.994218945503235,95.76800464825979,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed42/checkpoints/final,200,200000,5297.22128033638
ours__full__urban__bs4__u100__user_load__seed43,ours,full,urban,43,user_load,4,100,20,240.61866409693766,164.2264052938651,524.2071242807028,0.5075,50.75,0.0,0.0,0.7424049573608773,0.9810958565068053,500160.0,19.156066060066223,100.61001431835265,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed43/checkpoints/final,200,200000,5354.868700504303
ours__full__urban__bs4__u100__user_load__seed44,ours,full,urban,44,user_load,4,100,20,240.59833176787242,164.28844179003525,524.3708482667065,0.5074575,50.74575,0.0,0.0,0.7423404916384936,0.9809197764648568,499919.2435757103,19.144348800182343,100.59965973348247,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u100__user_load__seed44/checkpoints/final,200,200000,5312.317089796066
ours__full__urban__bs4__u120__user_load__seed42,ours,full,urban,42,user_load,4,120,20,281.2102650975341,192.20287627223428,613.0417714935261,0.4830291666666667,48.30291666666667,0.0,0.0,0.7170276795934573,0.9854082746412847,500149.56726236985,21.942861258983612,95.68368111720665,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed42/checkpoints/final,200,200000,6135.625990390778
ours__full__urban__bs4__u120__user_load__seed43,ours,full,urban,43,user_load,4,120,20,283.1942665444148,192.4496775738927,615.1386429246027,0.48332916666666664,48.33291666666667,0.0,0.0,0.7182937787379531,0.9840359558507336,500160.0,22.007927238941193,95.81948310162866,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed43/checkpoints/final,200,200000,6041.257836818695
ours__full__urban__bs4__u120__user_load__seed44,ours,full,urban,44,user_load,4,120,20,283.0658917308664,192.1057399521365,613.3760847424311,0.48345625,48.345625,0.0,0.0,0.7183499104473696,0.9850511952752279,500159.33682789025,22.03613418340683,95.86881320653711,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs4__u120__user_load__seed44/checkpoints/final,200,200000,6056.449343919754
ours__full__urban__bs8__u160__bs_scale__seed42,ours,full,urban,42,bs_scale,8,160,20,382.771250771976,153.93860818694296,464.1761090046528,0.5055328125,50.55328125,0.004353125,0.4353125,0.7562472534286081,0.967928502025557,947878.0828994301,108.69055390357971,102.48603443692477,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed42/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed42/checkpoints/final,200,200000,24856.40101838112
ours__full__urban__bs8__u160__bs_scale__seed43,ours,full,urban,43,bs_scale,8,160,20,382.0346543393935,164.56886634898885,475.9401764730304,0.4770078125,47.70078125,0.0014765625,0.14765625,0.7493832583136063,0.9687394397709297,915686.2205451191,109.22710293531418,100.90129362177966,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed43/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed43/checkpoints/final,200,200000,25050.253154039383
ours__full__urban__bs8__u160__bs_scale__seed44,ours,full,urban,44,bs_scale,8,160,20,380.41166475309126,144.67796880063648,451.5772356837542,0.5298984375,52.98984375,0.007040625,0.7040625,0.7607690871451895,0.9680632083055056,996530.5319673037,109.58228504657745,103.46314047853829,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed44/eval_user_steps.csv,2026-08-26-paper-suite-v5.1-a2c-compat-scalability,rllib_ppo,2.49.2,2.7.1+cu128,/home/umb/Desktop/mappo2/paper_results_v51_final/runs/ours__full__urban__bs8__u160__bs_scale__seed44/checkpoints/final,200,200000,25070.348390579224
